State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Lat,Long
Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Hail/Sleet,0,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Others,0,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Rainy,90,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Sunny/Clear,4521,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Foggy & Misty,104,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Hail/Sleet,0,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Others,0,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Rainy,115,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Sunny/Clear,3014,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Foggy & Misty,77,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Hail/Sleet,0,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Others,0,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Rainy,117,12.977063,77.587106
Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Sunny/Clear,3019,12.977063,77.587106
Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Foggy & Misty,0,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Hail/Sleet,0,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Others,0,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Rainy,181,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Sunny/Clear,476,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2019",Calicut,Foggy & Misty,120,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2019",Calicut,Hail/Sleet,0,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2019",Calicut,Others,0,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2019",Calicut,Rainy,120,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2019",Calicut,Sunny/Clear,1357,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Foggy & Misty,43,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Hail/Sleet,0,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Others,84,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Rainy,28,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Sunny/Clear,2135,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Foggy & Misty,47,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Hail/Sleet,0,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Others,370,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Rainy,52,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Sunny/Clear,1471,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2019",Kumbakonam,Foggy & Misty,72,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2019",Kumbakonam,Hail/Sleet,0,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2019",Kumbakonam,Others,318,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2019",Kumbakonam,Rainy,125,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2019",Kumbakonam,Sunny/Clear,2047,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2019",Thiruvananthapuram,Foggy & Misty,23,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2019",Thiruvananthapuram,Hail/Sleet,0,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2019",Thiruvananthapuram,Others,0,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2019",Thiruvananthapuram,Rainy,169,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2019",Thiruvananthapuram,Sunny/Clear,1803,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Foggy & Misty,161,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Hail/Sleet,0,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Others,0,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Rainy,211,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Sunny/Clear,1838,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Foggy & Misty,0,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Hail/Sleet,0,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Others,0,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Rainy,94,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Sunny/Clear,410,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2020",Calicut,Foggy & Misty,82,11.248016,75.780402
